symbol,report_year,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20
000510,2021,-2.836298,-0.05039,0.100437,0.152409,0.066629,-0.012154,-0.171415,0.032041,-0.033207,-0.068263,-0.029271,0.042437,0.005813,0.017172,0.013151,-0.048622,0.027759,0.005022,-0.002282,-0.016029
000513,2021,-3.520826,0.362665,-0.111182,0.075671,0.130815,0.320212,0.257692,-0.191358,-0.222333,0.121401,0.042262,0.002556,-0.14412,-0.035538,-0.013584,0.056365,-0.087238,-0.035957,-0.021216,0.04058
000514,2021,-3.759959,0.297969,-0.083784,0.088503,0.159483,0.084986,-0.100426,-0.128981,-0.102632,-0.089322,0.045879,-0.032296,0.041715,-0.005458,-0.016526,0.000876,0.025159,-0.065657,-0.012286,0.003729
000516,2021,6.794358,0.213311,-0.558803,-0.34048,0.269904,-0.10519,-0.071775,-0.128852,0.031377,-0.028645,-0.152592,0.050621,-0.040763,-0.046263,-0.049404,-0.050006,-0.006602,0.046272,-0.011954,-0.01208
000517,2021,5.236876,-0.395172,-0.120494,0.172913,0.574944,0.152539,0.205317,0.2085,0.190505,-0.138856,0.003786,0.055966,0.017215,-0.047324,0.030305,-0.045591,-0.036333,0.091923,0.003957,0.041401
000518,2021,0.584792,-0.778754,0.420161,0.115535,0.093317,0.048585,-0.088196,-0.106071,0.194944,0.149099,-0.065705,-0.037885,0.023284,-0.025006,-0.062609,0.03818,0.14126,0.048174,0.027206,-0.00257
000519,2021,-5.393088,1.070183,-0.519195,-0.184898,0.181196,0.09438,0.441899,-0.128318,-0.209776,0.282876,0.035819,0.060629,-0.218765,-0.117498,-0.005127,0.1205,0.005375,0.014037,0.035907,0.119564
000520,2021,-1.063808,-0.435479,0.259426,0.313881,0.16959,0.427373,0.121403,-0.098314,-0.078348,0.01175,-0.052777,-0.044005,0.094166,0.07099,0.071798,-0.035442,-0.018289,-0.013879,-0.043131,-0.012861
000521,2021,2.108197,-0.862395,0.345133,0.224694,0.382447,0.106186,0.10803,0.028511,0.188965,0.064634,0.024192,0.030443,0.045989,-0.027432,0.052262,-0.064099,0.036481,0.036,0.022328,-0.042891
000523,2021,5.661986,-0.334702,-0.189656,0.01346,0.683373,-0.052481,0.080558,0.049231,0.165362,-0.123906,0.086919,0.00969,-0.045219,-0.041855,0.00749,-0.012,-0.091187,0.062022,0.044211,0.028279
000524,2021,-0.592783,-0.639395,0.388587,0.213108,0.244929,0.038811,-0.095987,-0.105686,0.004282,0.071847,-0.05338,-0.137887,0.039543,0.063225,-0.015473,0.042151,0.069189,0.010312,-0.008936,0.006977
000525,2021,6.17776,-0.082556,-0.394391,-0.258472,0.378845,-0.169553,0.015279,-0.052137,0.035751,-0.045071,-0.025587,0.087087,-0.038714,-0.028343,-0.031532,-0.100102,-0.000125,-0.054195,-0.003339,-0.01602
000526,2021,-4.089339,0.317983,-0.088209,0.093119,0.140588,-0.01633,-0.257884,-0.05682,0.021477,-0.134831,-0.031888,0.025641,0.106501,-0.082508,-0.006875,-0.010876,0.047364,0.029123,-0.013601,-0.03712
000528,2021,-2.052308,-0.254354,0.205275,0.075316,-0.156716,-0.031123,-0.227032,0.016059,0.108849,0.101276,-0.137797,0.064038,-0.00443,-0.075664,0.035228,0.013221,0.124094,-0.021984,0.003659,0.050132
000529,2021,-4.039304,0.434373,-0.152537,0.056473,0.061432,0.185717,-0.152703,-0.194226,0.048681,-0.112586,0.025003,0.01246,0.119335,-0.111196,0.00716,0.049666,-0.103174,0.001673,-0.028084,-0.03583
000530,2021,-2.490664,-0.058443,0.144579,0.125791,-0.096312,0.169258,-0.231886,-0.160309,0.140648,0.024952,-0.070008,0.08109,0.079543,-0.170181,0.105165,0.061646,-0.023987,0.009553,-0.051604,0.0014
000531,2021,-4.015356,0.442708,-0.163365,0.055208,0.095991,0.206855,-0.023403,-0.197593,-0.058207,-0.050552,0.04821,0.001576,0.053561,-0.052167,-0.03768,0.055236,-0.100609,-0.027864,0.010747,-0.004167
000532,2021,9.569184,16.777672,10.877307,-0.854092,1.277104,-0.666817,0.804136,-0.690725,0.212116,-0.929574,-0.574373,0.644756,-0.643327,0.688617,0.373204,0.803697,0.037561,-0.059123,0.213753,-0.70237
000533,2021,-3.196579,0.217403,-0.05037,0.071997,-0.123058,0.042711,-0.080095,0.056973,-0.044671,-0.091469,0.077933,0.076847,-0.086263,0.018274,0.027737,-0.071765,0.031453,-0.040865,-0.115885,-8.8e-05
000534,2021,0.725385,-0.632567,0.373742,0.012208,-0.139575,-0.158568,-0.022698,0.042722,0.007699,0.06765,0.052962,-0.03041,0.008301,0.00073,0.014583,0.05753,0.03088,0.019972,-0.036959,0.012093
000536,2021,5.509057,0.238572,-0.33006,0.325105,0.122706,0.666102,0.516066,0.430394,0.041924,-0.307682,-0.039845,-0.099314,-0.104694,-0.114083,0.044772,0.028943,0.076817,-0.00472,-0.062915,0.071435
000537,2021,-4.49421,0.373518,-0.10069,0.132797,0.441924,-0.229445,-0.137083,0.045522,-0.213308,-0.100803,0.002452,-0.012348,0.048632,-0.096419,0.040278,-0.022229,0.042138,0.012117,0.01327,-0.066462
000538,2021,-4.5546,0.534415,-0.247716,-0.013736,0.118673,-0.112328,-0.139718,0.047429,-0.032895,-0.121618,0.016196,-0.004385,-0.010256,-0.002943,-0.058749,-0.0597,0.044238,-0.025545,0.000673,-0.013188
000539,2021,-3.708953,0.157693,-0.002768,0.185594,0.398621,-0.041646,-0.008637,-0.006426,-0.263214,-0.021112,-0.001922,-0.004785,0.004977,-0.016584,0.022059,-0.023452,0.00348,0.002299,-0.000842,-0.041564
000541,2021,-4.36591,0.383936,-0.098051,0.151927,0.30603,-0.048297,-0.202043,-0.067795,-0.046833,-0.087966,-0.008754,0.060232,0.137412,-0.201109,0.094204,0.032744,-0.051884,0.051522,-0.051046,-0.09284
000543,2021,-3.081341,0.03345,0.05776,0.125892,0.101786,0.107318,-0.184647,-0.147701,-0.05952,-0.096252,-0.013455,-0.065577,0.103823,0.04368,-0.05284,0.014644,0.088079,-0.028296,0.034061,0.012668
000544,2021,-7.915621,2.174505,-1.290468,-0.661308,0.152294,-0.147622,0.479261,-0.092356,0.3383,0.265582,0.157334,-0.082977,0.019146,0.048646,0.029071,0.058503,0.058688,-0.029591,0.002272,-0.053838
000545,2021,1.724692,-0.595571,0.253359,-0.018453,-0.218249,-0.10687,0.123089,0.118415,0.10023,0.125744,0.235113,0.343193,-0.057239,-0.142665,0.052972,-0.130435,0.121077,-0.156599,-0.006705,-0.07958
