symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
504,*ST生物,2022,2023-04-21,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000504&announcementId=1216495863&orgId=gssz0000504&announcementTime=2023-04-21,2023-04-24,2023-07-24,-0.029077
505,京粮控股,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000505&announcementId=1216278145&orgId=gssz0000505&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.070875
506,招金黄金,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000506&announcementId=1216654569&orgId=gssz0000506&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.108619
507,珠海港,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000507&announcementId=1216613252&orgId=gssz0000507&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.044129
509,华塑控股,2022,2023-04-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000509&announcementId=1216419903&orgId=gssz0000509&announcementTime=2023-04-15,2023-04-17,2023-07-17,-0.130377
510,新金路,2022,2023-04-08,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000510&announcementId=1216356529&orgId=gssz0000510&announcementTime=2023-04-08,2023-04-10,2023-07-10,-0.04805
514,渝 开 发,2022,2023-03-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000514&announcementId=1216221769&orgId=gssz0000514&announcementTime=2023-03-25,2023-03-27,2023-06-27,-0.088251
513,丽珠集团,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000513&announcementId=1216273157&orgId=gssz0000513&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.037844
516,国际医学,2022,2023-04-19,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000516&announcementId=1216457906&orgId=gssz0000516&announcementTime=2023-04-19,2023-04-20,2023-07-20,-0.203689
517,荣安地产,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000517&announcementId=1216698602&orgId=gssz0000517&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.237468
519,中兵红箭,2022,2023-04-11,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000519&announcementId=1216372166&orgId=gssz0000519&announcementTime=2023-04-11,2023-04-12,2023-07-12,-0.172461
518,*ST四环,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000518&announcementId=1216614114&orgId=gssz0000518&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.0
521,长虹美菱,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000521&announcementId=1216278251&orgId=gssz0000521&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.415692
520,凤凰航运,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000520&announcementId=1216649228&orgId=gssz0000520&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.037155
524,岭南控股,2022,2023-03-30,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000524&announcementId=1216262917&orgId=gssz0000524&announcementTime=2023-03-30,2023-03-31,2023-07-03,-0.073915
523,红棉股份,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000523&announcementId=1216274478&orgId=gssz0000523&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.032642
526,学大教育,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000526&announcementId=1216557775&orgId=gssz0000526&announcementTime=2023-04-25,2023-04-26,2023-07-26,0.722879
528,柳    工,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000528&announcementId=1216657853&orgId=gssz0000528&announcementTime=2023-04-28,2023-05-04,2023-07-31,0.05261
529,广弘控股,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000529&announcementId=1216647673&orgId=gssz0000529&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.016177
530,冰山冷热,2022,2023-04-26,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000530&announcementId=1216581741&orgId=gssz0000530&announcementTime=2023-04-26,2023-04-27,2023-07-27,0.165402
531,穗恒运Ａ,2022,2023-04-08,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000531&announcementId=1216359085&orgId=gssz0000531&announcementTime=2023-04-08,2023-04-10,2023-07-10,0.202462
532,华金资本,2022,2023-03-24,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000532&announcementId=1216202430&orgId=gssz0000532&announcementTime=2023-03-24,2023-03-27,2023-06-27,-0.056724
533,顺钠股份,2022,2023-04-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000533&announcementId=1216417085&orgId=gssz0000533&announcementTime=2023-04-15,2023-04-17,2023-07-17,0.088367
534,万泽股份,2022,2023-02-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000534&announcementId=1215991366&orgId=gssz0000534&announcementTime=2023-02-28,2023-03-01,2023-05-30,-0.13921
536,华映科技,2022,2023-04-18,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000536&announcementId=1216442617&orgId=gssz0000536&announcementTime=2023-04-18,2023-04-19,2023-07-19,-0.083223
537,绿发电力,2022,2023-03-30,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000537&announcementId=1216262834&orgId=gssz0000537&announcementTime=2023-03-30,2023-03-31,2023-07-03,0.079021
538,云南白药,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000538&announcementId=1216280778&orgId=gssz0000538&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.008675
539,粤电力Ａ,2022,2023-04-01,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000539&announcementId=1216303420&orgId=gssz0000539&announcementTime=2023-04-01,2023-04-03,2023-07-04,0.192145
543,皖能电力,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000543&announcementId=1216651338&orgId=gssz0000543&announcementTime=2023-04-28,2023-05-04,2023-07-31,0.249214
544,中原环保,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000544&announcementId=1216269156&orgId=gssz0000544&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.160972
545,金浦钛业,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000545&announcementId=1216687655&orgId=gssz0000545&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.009715
546,金圆股份,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000546&announcementId=1216693723&orgId=gssz0000546&announcementTime=2023-04-29,2023-05-04,2023-08-01,-0.209375
547,航天发展,2022,2023-04-22,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000547&announcementId=1216522178&orgId=gssz0000547&announcementTime=2023-04-22,2023-04-24,2023-07-24,-0.081512
